MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA
PCA,contraceptive,_delaunay_area_1,RF,area,1,0.196,0.22400000000000003,0.792,0.20400000000000001,0.28600000000000003,0.14400000000000002
PCA,contraceptive,_delaunay_area_1,SGD,area,1,0.15999999999999998,0.20800000000000002,0.8219999999999998,0.162,0.21400000000000002,0.10400000000000001
PCA,contraceptive,_delaunay_area_1,SVM,area,1,0.22399999999999998,0.22799999999999998,0.77,0.094,0.064,0.006
PCA,contraceptive,_delaunay_area_4,ABC,area,4,0.20400000000000001,0.23200000000000004,0.812,0.21400000000000002,0.29200000000000004,0.158
PCA,contraceptive,_delaunay_area_4,DTREE,area,4,0.18,0.20600000000000002,0.792,0.19,0.272,0.132
PCA,contraceptive,_delaunay_area_4,GNB,area,4,0.2,0.192,0.844,0.194,0.272,0.14
PCA,contraceptive,_delaunay_area_4,KNN,area,4,0.198,0.20600000000000002,0.8160000000000001,0.198,0.28,0.138
PCA,contraceptive,_delaunay_area_4,LRG,area,4,0.20600000000000002,0.266,0.772,0.22000000000000003,0.296,0.154
PCA,contraceptive,_delaunay_area_4,MLP,area,4,0.20600000000000002,0.22800000000000004,0.8140000000000001,0.21200000000000002,0.29200000000000004,0.15800000000000003
PCA,contraceptive,_delaunay_area_4,QDA,area,4,0.20800000000000002,0.174,0.85,0.188,0.266,0.128
PCA,contraceptive,_delaunay_area_4,RF,area,4,0.192,0.22999999999999998,0.788,0.20800000000000002,0.28800000000000003,0.14800000000000002
PCA,contraceptive,_delaunay_area_4,SGD,area,4,0.18400000000000002,0.298,0.73,0.20400000000000001,0.236,0.10600000000000001
PCA,contraceptive,_delaunay_area_4,SVM,area,4,0.22799999999999998,0.22999999999999998,0.774,0.096,0.068,0.008
PCA,contraceptive,_delaunay_area_9,ABC,area,9,0.202,0.22400000000000003,0.8079999999999998,0.21200000000000002,0.28800000000000003,0.15200000000000002
PCA,contraceptive,_delaunay_area_9,DTREE,area,9,0.188,0.21399999999999997,0.796,0.196,0.28,0.138
PCA,contraceptive,_delaunay_area_9,GNB,area,9,0.194,0.196,0.8320000000000001,0.19,0.27,0.138
PCA,contraceptive,_delaunay_area_9,KNN,area,9,0.194,0.202,0.8139999999999998,0.194,0.28,0.134
PCA,contraceptive,_delaunay_area_9,LRG,area,9,0.20800000000000002,0.266,0.77,0.21999999999999997,0.298,0.15200000000000002
PCA,contraceptive,_delaunay_area_9,MLP,area,9,0.20400000000000001,0.22599999999999998,0.812,0.21200000000000002,0.29000000000000004,0.15200000000000002
PCA,contraceptive,_delaunay_area_9,QDA,area,9,0.20600000000000002,0.178,0.852,0.188,0.268,0.132
PCA,contraceptive,_delaunay_area_9,RF,area,9,0.192,0.22599999999999998,0.79,0.20800000000000002,0.28800000000000003,0.14800000000000002
PCA,contraceptive,_delaunay_area_9,SGD,area,9,0.15799999999999997,0.162,0.85,0.11800000000000002,0.156,0.06599999999999999
PCA,contraceptive,_delaunay_area_9,SVM,area,9,0.20400000000000001,0.22999999999999998,0.774,0.094,0.05800000000000001,0.008
PCA,contraceptive,_delaunay_area_volume_ratio_1,ABC,area_volume_ratio,1,0.2,0.22400000000000003,0.808,0.21000000000000002,0.28800000000000003,0.15200000000000002
PCA,contraceptive,_delaunay_area_volume_ratio_1,DTREE,area_volume_ratio,1,0.186,0.20400000000000001,0.8020000000000002,0.188,0.278,0.13
PCA,contraceptive,_delaunay_area_volume_ratio_1,GNB,area_volume_ratio,1,0.196,0.182,0.85,0.188,0.268,0.134
PCA,contraceptive,_delaunay_area_volume_ratio_1,KNN,area_volume_ratio,1,0.198,0.2,0.818,0.19,0.278,0.134
PCA,contraceptive,_delaunay_area_volume_ratio_1,LRG,area_volume_ratio,1,0.20800000000000002,0.27,0.7699999999999999,0.22199999999999998,0.298,0.156
PCA,contraceptive,_delaunay_area_volume_ratio_1,MLP,area_volume_ratio,1,0.20400000000000001,0.22599999999999998,0.8140000000000001,0.21600000000000003,0.29000000000000004,0.15600000000000003
PCA,contraceptive,_delaunay_area_volume_ratio_1,QDA,area_volume_ratio,1,0.21600000000000003,0.16999999999999998,0.858,0.188,0.266,0.128
