,ARQUIVO,WINER
135,pca_media_rank_biclasse_max_solid_angle_1_GNB_auc.csv,SMOTE
136,pca_media_rank_biclasse_radius_ratio_4_KNN_geo.csv,BORDERLINE1
137,pca_media_rank_biclasse_radius_ratio_4_RF_auc.csv,BORDERLINE2
138,pca_media_rank_biclasse_max_solid_angle_1_KNN_f1.csv,ORIGINAL
139,pca_media_rank_biclasse_area_volume_ratio_4_RF_f1.csv,SMOTE_SVM
140,pca_media_rank_biclasse_radius_ratio_1_DTREE_auc.csv,SMOTE_SVM
141,pca_media_rank_biclasse_edge_ratio_9_SVM_geo.csv,SMOTE
142,pca_media_rank_biclasse_edge_ratio_1_GNB_f1.csv,ORIGINAL
143,pca_media_rank_biclasse_aspect_ratio_9_SVM_iba.csv,SMOTE
144,pca_media_rank_biclasse_radius_ratio_1_GNB_geo.csv,SMOTE
145,pca_media_rank_biclasse_min_solid_angle_4_RF_geo.csv,DELAUNAY
146,pca_media_rank_biclasse_radius_ratio_4_SGD_geo.csv,SMOTE
147,pca_media_rank_biclasse_max_solid_angle_9_QDA_geo.csv,DELAUNAY
148,pca_media_rank_biclasse_volume_4_SVM_geo.csv,SMOTE
149,pca_media_rank_biclasse_solid_angle_4_MLP_f1.csv,SMOTE_SVM
150,pca_media_rank_biclasse_solid_angle_1_MLP_auc.csv,DELAUNAY
151,pca_media_rank_biclasse_edge_ratio_1_QDA_auc.csv,DELAUNAY
152,pca_media_rank_biclasse_min_solid_angle_4_RF_iba.csv,DELAUNAY
153,pca_media_rank_biclasse_volume_1_KNN_auc.csv,BORDERLINE1
154,pca_media_rank_biclasse_area_volume_ratio_4_KNN_auc.csv,DELAUNAY
155,pca_media_rank_biclasse_max_solid_angle_9_ABC_f1.csv,SMOTE_SVM
156,pca_media_rank_biclasse_min_solid_angle_4_SGD_auc.csv,DELAUNAY
157,pca_media_rank_biclasse_max_solid_angle_4_SGD_f1.csv,SMOTE
158,pca_media_rank_biclasse_radius_ratio_9_DTREE_iba.csv,SMOTE_SVM
159,pca_media_rank_biclasse_volume_9_ABC_auc.csv,SMOTE_SVM
160,pca_media_rank_biclasse_area_9_SGD_f1.csv,SMOTE
161,pca_media_rank_biclasse_area_volume_ratio_9_RF_geo.csv,BORDERLINE2
162,pca_media_rank_biclasse_solid_angle_9_MLP_geo.csv,DELAUNAY
163,pca_media_rank_biclasse_area_volume_ratio_9_KNN_auc.csv,SMOTE_SVM
164,pca_media_rank_biclasse_radius_ratio_9_LRG_f1.csv,SMOTE_SVM
165,pca_media_rank_biclasse_edge_ratio_9_SGD_iba.csv,SMOTE
166,pca_media_rank_biclasse_area_volume_ratio_1_KNN_geo.csv,BORDERLINE1
167,pca_media_rank_biclasse_aspect_ratio_4_DTREE_iba.csv,SMOTE_SVM
168,pca_media_rank_biclasse_aspect_ratio_4_MLP_f1.csv,SMOTE_SVM
169,pca_media_rank_biclasse_edge_ratio_1_QDA_iba.csv,DELAUNAY
170,pca_media_rank_biclasse_area_volume_ratio_4_DTREE_f1.csv,ORIGINAL
171,pca_media_rank_biclasse_edge_ratio_1_RF_geo.csv,DELAUNAY
172,pca_media_rank_biclasse_max_solid_angle_1_RF_auc.csv,DELAUNAY
173,pca_media_rank_biclasse_edge_ratio_1_SVM_geo.csv,SMOTE
174,pca_media_rank_biclasse_max_solid_angle_9_KNN_auc.csv,DELAUNAY
175,pca_media_rank_biclasse_solid_angle_4_RF_auc.csv,DELAUNAY
176,pca_media_rank_biclasse_aspect_ratio_1_LRG_iba.csv,BORDERLINE1
177,pca_media_rank_biclasse_min_solid_angle_9_SGD_iba.csv,SMOTE
178,pca_media_rank_biclasse_radius_ratio_4_SGD_auc.csv,SMOTE
179,pca_media_rank_biclasse_solid_angle_9_GNB_auc.csv,SMOTE
180,pca_media_rank_biclasse_area_volume_ratio_1_DTREE_f1.csv,ORIGINAL
181,pca_media_rank_biclasse_area_volume_ratio_4_SGD_iba.csv,SMOTE
182,pca_media_rank_biclasse_volume_9_ABC_f1.csv,SMOTE_SVM
183,pca_media_rank_biclasse_max_solid_angle_9_ABC_geo.csv,DELAUNAY
184,pca_media_rank_biclasse_edge_ratio_4_KNN_auc.csv,SMOTE_SVM
185,pca_media_rank_biclasse_radius_ratio_1_QDA_geo.csv,SMOTE
186,pca_media_rank_biclasse_area_volume_ratio_4_LRG_f1.csv,SMOTE_SVM
187,pca_media_rank_biclasse_radius_ratio_4_ABC_geo.csv,SMOTE
188,pca_media_rank_biclasse_radius_ratio_9_ABC_geo.csv,BORDERLINE2
189,pca_media_rank_biclasse_volume_9_SVM_geo.csv,SMOTE
190,pca_media_rank_biclasse_edge_ratio_4_SVM_geo.csv,SMOTE
191,pca_media_rank_biclasse_max_solid_angle_9_SGD_iba.csv,SMOTE
192,pca_media_rank_biclasse_max_solid_angle_9_SGD_geo.csv,SMOTE
193,pca_media_rank_biclasse_min_solid_angle_9_SGD_geo.csv,SMOTE
194,pca_media_rank_biclasse_radius_ratio_4_SVM_geo.csv,SMOTE
195,pca_media_rank_biclasse_area_4_MLP_iba.csv,BORDERLINE2
196,pca_media_rank_biclasse_area_volume_ratio_4_LRG_geo.csv,BORDERLINE1
197,pca_media_rank_biclasse_solid_angle_9_LRG_geo.csv,BORDERLINE1
198,pca_media_rank_biclasse_volume_9_SVM_iba.csv,SMOTE
199,pca_media_rank_biclasse_volume_9_RF_iba.csv,BORDERLINE2
200,pca_media_rank_biclasse_max_solid_angle_4_MLP_iba.csv,DELAUNAY
201,pca_media_rank_biclasse_volume_1_ABC_iba.csv,SMOTE_SVM
202,pca_media_rank_biclasse_area_9_SVM_iba.csv,SMOTE
203,pca_media_rank_biclasse_radius_ratio_1_DTREE_iba.csv,SMOTE_SVM
204,pca_media_rank_biclasse_radius_ratio_4_SVM_auc.csv,SMOTE
205,pca_media_rank_biclasse_solid_angle_9_ABC_iba.csv,SMOTE_SVM
206,pca_media_rank_biclasse_area_volume_ratio_1_SVM_auc.csv,SMOTE
207,pca_media_rank_biclasse_min_solid_angle_9_KNN_geo.csv,BORDERLINE1
208,pca_media_rank_biclasse_aspect_ratio_4_MLP_auc.csv,BORDERLINE2
209,pca_media_rank_biclasse_aspect_ratio_9_QDA_geo.csv,SMOTE
210,pca_media_rank_biclasse_aspect_ratio_1_LRG_auc.csv,BORDERLINE1
211,pca_media_rank_biclasse_radius_ratio_1_SVM_f1.csv,SMOTE
212,pca_media_rank_biclasse_edge_ratio_9_GNB_f1.csv,ORIGINAL
213,pca_media_rank_biclasse_volume_4_SGD_f1.csv,SMOTE
214,pca_media_rank_biclasse_volume_1_ABC_geo.csv,BORDERLINE2
215,pca_media_rank_biclasse_max_solid_angle_1_MLP_f1.csv,SMOTE_SVM
216,pca_media_rank_biclasse_area_volume_ratio_9_DTREE_iba.csv,SMOTE_SVM
217,pca_media_rank_biclasse_radius_ratio_4_DTREE_geo.csv,SMOTE_SVM
218,pca_media_rank_biclasse_max_solid_angle_1_QDA_f1.csv,ORIGINAL
219,pca_media_rank_biclasse_volume_1_LRG_f1.csv,SMOTE_SVM
220,pca_media_rank_biclasse_area_volume_ratio_1_MLP_geo.csv,BORDERLINE2
221,pca_media_rank_biclasse_min_solid_angle_4_LRG_geo.csv,BORDERLINE1
222,pca_media_rank_biclasse_aspect_ratio_9_KNN_geo.csv,BORDERLINE1
223,pca_media_rank_biclasse_min_solid_angle_1_RF_geo.csv,DELAUNAY
224,pca_media_rank_biclasse_volume_4_SVM_iba.csv,SMOTE
225,pca_media_rank_biclasse_area_4_QDA_f1.csv,ORIGINAL
226,pca_media_rank_biclasse_area_volume_ratio_1_RF_f1.csv,SMOTE_SVM
227,pca_media_rank_biclasse_volume_1_SVM_iba.csv,SMOTE
228,pca_media_rank_biclasse_min_solid_angle_4_GNB_geo.csv,SMOTE
229,pca_media_rank_biclasse_max_solid_angle_1_RF_geo.csv,DELAUNAY
230,pca_media_rank_biclasse_aspect_ratio_4_DTREE_geo.csv,SMOTE_SVM
231,pca_media_rank_biclasse_volume_4_SGD_auc.csv,SMOTE
232,pca_media_rank_biclasse_radius_ratio_9_QDA_iba.csv,SMOTE
233,pca_media_rank_biclasse_aspect_ratio_1_RF_auc.csv,BORDERLINE2
234,pca_media_rank_biclasse_edge_ratio_4_SGD_auc.csv,SMOTE
235,pca_media_rank_biclasse_min_solid_angle_9_LRG_iba.csv,BORDERLINE1
236,pca_media_rank_biclasse_area_9_ABC_auc.csv,SMOTE_SVM
237,pca_media_rank_biclasse_volume_4_GNB_geo.csv,SMOTE
238,pca_media_rank_biclasse_edge_ratio_1_LRG_geo.csv,BORDERLINE1
239,pca_media_rank_biclasse_aspect_ratio_9_KNN_auc.csv,BORDERLINE1
240,pca_media_rank_biclasse_min_solid_angle_4_KNN_iba.csv,BORDERLINE1
241,pca_media_rank_biclasse_area_1_QDA_f1.csv,ORIGINAL
242,pca_media_rank_biclasse_area_volume_ratio_1_ABC_geo.csv,BORDERLINE2
243,pca_media_rank_biclasse_area_volume_ratio_1_GNB_geo.csv,SMOTE
