ID,DATASET,FOLD,PREPROC,ALGORITHM,MODE,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA
contraceptive__delaunay_PCA_area_1_ABC,contraceptive,0,_delaunay_area_1,ABC,PCA,area,1,0.16,0.20,0.78,0.17,0.25,0.12
contraceptive__delaunay_PCA_area_1_MLP,contraceptive,0,_delaunay_area_1,MLP,PCA,area,1,0.18,0.19,0.80,0.18,0.26,0.13
contraceptive__delaunay_PCA_area_1_QDA,contraceptive,0,_delaunay_area_1,QDA,PCA,area,1,0.21,0.18,0.83,0.19,0.27,0.13
contraceptive__delaunay_PCA_area_1_SVM,contraceptive,0,_delaunay_area_1,SVM,PCA,area,1,0.05,0.22,0.77,0.08,0.03,0.00
contraceptive__delaunay_PCA_area_1_SGD,contraceptive,0,_delaunay_area_1,SGD,PCA,area,1,0.18,0.21,0.81,0.20,0.27,0.14
contraceptive__delaunay_PCA_area_4_RF,contraceptive,0,_delaunay_area_4,RF,PCA,area,4,0.19,0.20,0.79,0.19,0.27,0.13
contraceptive__delaunay_PCA_area_4_KNN,contraceptive,0,_delaunay_area_4,KNN,PCA,area,4,0.19,0.18,0.82,0.18,0.26,0.12
contraceptive__delaunay_PCA_area_4_DTREE,contraceptive,0,_delaunay_area_4,DTREE,PCA,area,4,0.16,0.18,0.77,0.16,0.25,0.11
contraceptive__delaunay_PCA_area_4_GNB,contraceptive,0,_delaunay_area_4,GNB,PCA,area,4,0.17,0.17,0.82,0.17,0.24,0.12
contraceptive__delaunay_PCA_area_4_LRG,contraceptive,0,_delaunay_area_4,LRG,PCA,area,4,0.21,0.26,0.77,0.22,0.29,0.15
contraceptive__delaunay_PCA_area_4_ABC,contraceptive,0,_delaunay_area_4,ABC,PCA,area,4,0.19,0.18,0.81,0.18,0.25,0.13
contraceptive__delaunay_PCA_area_4_MLP,contraceptive,0,_delaunay_area_4,MLP,PCA,area,4,0.20,0.20,0.81,0.19,0.28,0.14
contraceptive__delaunay_PCA_area_4_QDA,contraceptive,0,_delaunay_area_4,QDA,PCA,area,4,0.20,0.17,0.83,0.18,0.26,0.12
contraceptive__delaunay_PCA_area_4_SVM,contraceptive,0,_delaunay_area_4,SVM,PCA,area,4,0.05,0.22,0.77,0.08,0.02,0.00
contraceptive__delaunay_PCA_area_4_SGD,contraceptive,0,_delaunay_area_4,SGD,PCA,area,4,0.20,0.25,0.76,0.18,0.24,0.10
contraceptive__delaunay_PCA_area_9_RF,contraceptive,0,_delaunay_area_9,RF,PCA,area,9,0.17,0.19,0.78,0.18,0.26,0.12
contraceptive__delaunay_PCA_area_9_KNN,contraceptive,0,_delaunay_area_9,KNN,PCA,area,9,0.18,0.17,0.81,0.17,0.26,0.11
contraceptive__delaunay_PCA_area_9_DTREE,contraceptive,0,_delaunay_area_9,DTREE,PCA,area,9,0.19,0.20,0.80,0.19,0.27,0.13
contraceptive__delaunay_PCA_area_9_GNB,contraceptive,0,_delaunay_area_9,GNB,PCA,area,9,0.16,0.18,0.81,0.17,0.25,0.12
contraceptive__delaunay_PCA_area_9_LRG,contraceptive,0,_delaunay_area_9,LRG,PCA,area,9,0.20,0.26,0.76,0.21,0.29,0.14
contraceptive__delaunay_PCA_area_9_ABC,contraceptive,0,_delaunay_area_9,ABC,PCA,area,9,0.20,0.18,0.82,0.19,0.26,0.13
contraceptive__delaunay_PCA_area_9_MLP,contraceptive,0,_delaunay_area_9,MLP,PCA,area,9,0.19,0.20,0.80,0.19,0.27,0.13
contraceptive__delaunay_PCA_area_9_QDA,contraceptive,0,_delaunay_area_9,QDA,PCA,area,9,0.19,0.19,0.82,0.19,0.27,0.13
contraceptive__delaunay_PCA_area_9_SVM,contraceptive,0,_delaunay_area_9,SVM,PCA,area,9,0.05,0.22,0.77,0.08,0.02,0.00
contraceptive__delaunay_PCA_area_9_SGD,contraceptive,0,_delaunay_area_9,SGD,PCA,area,9,0.21,0.27,0.76,0.20,0.26,0.12
contraceptive__delaunay_PCA_volume_1_RF,contraceptive,0,_delaunay_volume_1,RF,PCA,volume,1,0.19,0.20,0.79,0.19,0.27,0.13
contraceptive__delaunay_PCA_volume_1_KNN,contraceptive,0,_delaunay_volume_1,KNN,PCA,volume,1,0.18,0.16,0.82,0.16,0.25,0.10
contraceptive__delaunay_PCA_volume_1_DTREE,contraceptive,0,_delaunay_volume_1,DTREE,PCA,volume,1,0.18,0.19,0.79,0.18,0.26,0.12
contraceptive__delaunay_PCA_volume_1_GNB,contraceptive,0,_delaunay_volume_1,GNB,PCA,volume,1,0.17,0.18,0.81,0.18,0.25,0.12
contraceptive__delaunay_PCA_volume_1_LRG,contraceptive,0,_delaunay_volume_1,LRG,PCA,volume,1,0.21,0.26,0.77,0.21,0.29,0.14
contraceptive__delaunay_PCA_volume_1_ABC,contraceptive,0,_delaunay_volume_1,ABC,PCA,volume,1,0.18,0.19,0.81,0.19,0.25,0.13
contraceptive__delaunay_PCA_volume_1_MLP,contraceptive,0,_delaunay_volume_1,MLP,PCA,volume,1,0.19,0.20,0.80,0.19,0.27,0.14
contraceptive__delaunay_PCA_volume_1_QDA,contraceptive,0,_delaunay_volume_1,QDA,PCA,volume,1,0.20,0.18,0.83,0.18,0.26,0.13
contraceptive__delaunay_PCA_volume_1_SVM,contraceptive,0,_delaunay_volume_1,SVM,PCA,volume,1,0.10,0.22,0.77,0.09,0.07,0.01
contraceptive__delaunay_PCA_volume_1_SGD,contraceptive,0,_delaunay_volume_1,SGD,PCA,volume,1,0.01,0.00,0.97,0.00,0.03,0.00
contraceptive__delaunay_PCA_volume_4_RF,contraceptive,0,_delaunay_volume_4,RF,PCA,volume,4,0.19,0.21,0.79,0.19,0.27,0.13
contraceptive__delaunay_PCA_volume_4_KNN,contraceptive,0,_delaunay_volume_4,KNN,PCA,volume,4,0.20,0.19,0.81,0.18,0.27,0.12
contraceptive__delaunay_PCA_volume_4_DTREE,contraceptive,0,_delaunay_volume_4,DTREE,PCA,volume,4,0.22,0.21,0.83,0.21,0.29,0.15
contraceptive__delaunay_PCA_volume_4_GNB,contraceptive,0,_delaunay_volume_4,GNB,PCA,volume,4,0.17,0.19,0.80,0.18,0.26,0.13
contraceptive__delaunay_PCA_volume_4_LRG,contraceptive,0,_delaunay_volume_4,LRG,PCA,volume,4,0.21,0.26,0.77,0.22,0.29,0.14
contraceptive__delaunay_PCA_volume_4_ABC,contraceptive,0,_delaunay_volume_4,ABC,PCA,volume,4,0.20,0.20,0.81,0.20,0.28,0.14
contraceptive__delaunay_PCA_volume_4_MLP,contraceptive,0,_delaunay_volume_4,MLP,PCA,volume,4,0.19,0.21,0.80,0.20,0.28,0.14
contraceptive__delaunay_PCA_volume_4_QDA,contraceptive,0,_delaunay_volume_4,QDA,PCA,volume,4,0.20,0.19,0.83,0.19,0.27,0.14
contraceptive__delaunay_PCA_volume_4_SVM,contraceptive,0,_delaunay_volume_4,SVM,PCA,volume,4,0.05,0.22,0.77,0.08,0.03,0.00
contraceptive__delaunay_PCA_volume_4_SGD,contraceptive,0,_delaunay_volume_4,SGD,PCA,volume,4,0.14,0.34,0.68,0.20,0.18,0.07
contraceptive__delaunay_PCA_volume_9_RF,contraceptive,0,_delaunay_volume_9,RF,PCA,volume,9,0.17,0.20,0.78,0.18,0.26,0.12
contraceptive__delaunay_PCA_volume_9_KNN,contraceptive,0,_delaunay_volume_9,KNN,PCA,volume,9,0.20,0.18,0.82,0.18,0.27,0.12
contraceptive__delaunay_PCA_volume_9_DTREE,contraceptive,0,_delaunay_volume_9,DTREE,PCA,volume,9,0.15,0.16,0.78,0.15,0.24,0.10
contraceptive__delaunay_PCA_volume_9_GNB,contraceptive,0,_delaunay_volume_9,GNB,PCA,volume,9,0.18,0.23,0.78,0.20,0.28,0.14
contraceptive__delaunay_PCA_volume_9_LRG,contraceptive,0,_delaunay_volume_9,LRG,PCA,volume,9,0.21,0.26,0.77,0.22,0.29,0.15
