ID,DATASET,FOLD,PREPROC,ALGORITHM,MODE,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA
contraceptive__delaunay_PCA_solid_angle_9_GNB,contraceptive,1,_delaunay_solid_angle_9,GNB,PCA,solid_angle,9,0.21,0.17,0.87,0.19,0.26,0.13
contraceptive__delaunay_PCA_solid_angle_9_LRG,contraceptive,1,_delaunay_solid_angle_9,LRG,PCA,solid_angle,9,0.21,0.27,0.77,0.23,0.30,0.16
contraceptive__delaunay_PCA_solid_angle_9_ABC,contraceptive,1,_delaunay_solid_angle_9,ABC,PCA,solid_angle,9,0.18,0.20,0.80,0.19,0.27,0.13
contraceptive__delaunay_PCA_solid_angle_9_MLP,contraceptive,1,_delaunay_solid_angle_9,MLP,PCA,solid_angle,9,0.20,0.22,0.82,0.21,0.28,0.16
contraceptive__delaunay_PCA_solid_angle_9_QDA,contraceptive,1,_delaunay_solid_angle_9,QDA,PCA,solid_angle,9,0.21,0.14,0.86,0.17,0.24,0.11
contraceptive__delaunay_PCA_solid_angle_9_SVM,contraceptive,1,_delaunay_solid_angle_9,SVM,PCA,solid_angle,9,0.40,0.23,0.77,0.09,0.05,0.00
contraceptive__delaunay_PCA_solid_angle_9_SGD,contraceptive,1,_delaunay_solid_angle_9,SGD,PCA,solid_angle,9,0.18,0.19,0.83,0.19,0.26,0.13
contraceptive__train_RF,contraceptive,2,_train,RF,PCA,NONE,NONE,0.20,0.26,0.78,0.23,0.30,0.17
contraceptive__train_KNN,contraceptive,2,_train,KNN,PCA,NONE,NONE,0.22,0.25,0.81,0.23,0.31,0.17
contraceptive__train_DTREE,contraceptive,2,_train,DTREE,PCA,NONE,NONE,0.20,0.24,0.80,0.22,0.30,0.16
contraceptive__train_GNB,contraceptive,2,_train,GNB,PCA,NONE,NONE,0.21,0.22,0.83,0.21,0.29,0.16
contraceptive__train_LRG,contraceptive,2,_train,LRG,PCA,NONE,NONE,0.23,0.32,0.77,0.24,0.30,0.16
contraceptive__train_ABC,contraceptive,2,_train,ABC,PCA,NONE,NONE,0.18,0.24,0.77,0.20,0.28,0.14
contraceptive__train_MLP,contraceptive,2,_train,MLP,PCA,NONE,NONE,0.20,0.28,0.78,0.23,0.31,0.17
contraceptive__train_QDA,contraceptive,2,_train,QDA,PCA,NONE,NONE,0.23,0.22,0.85,0.22,0.30,0.17
contraceptive__train_SVM,contraceptive,2,_train,SVM,PCA,NONE,NONE,0.05,0.23,0.77,0.08,0.00,0.00
contraceptive__train_SGD,contraceptive,2,_train,SGD,PCA,NONE,NONE,0.15,0.33,0.68,0.20,0.19,0.08
contraceptive__SMOTE_RF,contraceptive,2,_SMOTE,RF,PCA,NONE,NONE,0.20,0.24,0.79,0.22,0.29,0.16
contraceptive__SMOTE_KNN,contraceptive,2,_SMOTE,KNN,PCA,NONE,NONE,0.21,0.25,0.81,0.23,0.30,0.17
contraceptive__SMOTE_DTREE,contraceptive,2,_SMOTE,DTREE,PCA,NONE,NONE,0.18,0.20,0.80,0.19,0.27,0.13
contraceptive__SMOTE_GNB,contraceptive,2,_SMOTE,GNB,PCA,NONE,NONE,0.20,0.18,0.86,0.19,0.27,0.13
contraceptive__SMOTE_LRG,contraceptive,2,_SMOTE,LRG,PCA,NONE,NONE,0.21,0.28,0.78,0.23,0.31,0.17
contraceptive__SMOTE_ABC,contraceptive,2,_SMOTE,ABC,PCA,NONE,NONE,0.21,0.25,0.81,0.23,0.30,0.17
contraceptive__SMOTE_MLP,contraceptive,2,_SMOTE,MLP,PCA,NONE,NONE,0.20,0.23,0.81,0.21,0.28,0.16
contraceptive__SMOTE_QDA,contraceptive,2,_SMOTE,QDA,PCA,NONE,NONE,0.23,0.20,0.87,0.21,0.28,0.15
contraceptive__SMOTE_SVM,contraceptive,2,_SMOTE,SVM,PCA,NONE,NONE,0.05,0.23,0.77,0.08,0.02,0.00
contraceptive__SMOTE_SGD,contraceptive,2,_SMOTE,SGD,PCA,NONE,NONE,0.21,0.30,0.77,0.24,0.32,0.18
contraceptive__Borderline1_RF,contraceptive,2,_Borderline1,RF,PCA,NONE,NONE,0.19,0.23,0.79,0.21,0.29,0.15
contraceptive__Borderline1_KNN,contraceptive,2,_Borderline1,KNN,PCA,NONE,NONE,0.19,0.22,0.81,0.21,0.29,0.15
contraceptive__Borderline1_DTREE,contraceptive,2,_Borderline1,DTREE,PCA,NONE,NONE,0.19,0.21,0.81,0.20,0.28,0.14
contraceptive__Borderline1_GNB,contraceptive,2,_Borderline1,GNB,PCA,NONE,NONE,0.21,0.18,0.86,0.19,0.27,0.14
contraceptive__Borderline1_LRG,contraceptive,2,_Borderline1,LRG,PCA,NONE,NONE,0.21,0.28,0.77,0.23,0.31,0.16
contraceptive__Borderline1_ABC,contraceptive,2,_Borderline1,ABC,PCA,NONE,NONE,0.21,0.23,0.82,0.21,0.29,0.16
contraceptive__Borderline1_MLP,contraceptive,2,_Borderline1,MLP,PCA,NONE,NONE,0.19,0.21,0.81,0.20,0.28,0.15
contraceptive__Borderline1_QDA,contraceptive,2,_Borderline1,QDA,PCA,NONE,NONE,0.22,0.18,0.87,0.20,0.27,0.14
contraceptive__Borderline1_SVM,contraceptive,2,_Borderline1,SVM,PCA,NONE,NONE,0.05,0.23,0.77,0.08,0.02,0.00
contraceptive__Borderline1_SGD,contraceptive,2,_Borderline1,SGD,PCA,NONE,NONE,0.19,0.33,0.72,0.24,0.30,0.16
contraceptive__Borderline2_RF,contraceptive,2,_Borderline2,RF,PCA,NONE,NONE,0.19,0.23,0.80,0.21,0.29,0.15
contraceptive__Borderline2_KNN,contraceptive,2,_Borderline2,KNN,PCA,NONE,NONE,0.21,0.24,0.81,0.22,0.30,0.16
contraceptive__Borderline2_DTREE,contraceptive,2,_Borderline2,DTREE,PCA,NONE,NONE,0.20,0.22,0.82,0.21,0.29,0.15
contraceptive__Borderline2_GNB,contraceptive,2,_Borderline2,GNB,PCA,NONE,NONE,0.20,0.18,0.85,0.19,0.27,0.13
contraceptive__Borderline2_LRG,contraceptive,2,_Borderline2,LRG,PCA,NONE,NONE,0.21,0.28,0.77,0.23,0.31,0.17
contraceptive__Borderline2_ABC,contraceptive,2,_Borderline2,ABC,PCA,NONE,NONE,0.22,0.24,0.82,0.22,0.30,0.17
contraceptive__Borderline2_MLP,contraceptive,2,_Borderline2,MLP,PCA,NONE,NONE,0.20,0.23,0.81,0.21,0.29,0.16
contraceptive__Borderline2_QDA,contraceptive,2,_Borderline2,QDA,PCA,NONE,NONE,0.23,0.19,0.87,0.21,0.28,0.15
contraceptive__Borderline2_SVM,contraceptive,2,_Borderline2,SVM,PCA,NONE,NONE,0.05,0.23,0.77,0.08,0.02,0.00
contraceptive__Borderline2_SGD,contraceptive,2,_Borderline2,SGD,PCA,NONE,NONE,0.14,0.33,0.68,0.19,0.16,0.06
contraceptive__smoteSVM_RF,contraceptive,2,_smoteSVM,RF,PCA,NONE,NONE,0.19,0.23,0.79,0.21,0.29,0.15
contraceptive__smoteSVM_KNN,contraceptive,2,_smoteSVM,KNN,PCA,NONE,NONE,0.22,0.25,0.81,0.23,0.31,0.17
contraceptive__smoteSVM_DTREE,contraceptive,2,_smoteSVM,DTREE,PCA,NONE,NONE,0.18,0.21,0.79,0.19,0.28,0.13
contraceptive__smoteSVM_GNB,contraceptive,2,_smoteSVM,GNB,PCA,NONE,NONE,0.20,0.19,0.85,0.19,0.27,0.14
contraceptive__smoteSVM_LRG,contraceptive,2,_smoteSVM,LRG,PCA,NONE,NONE,0.21,0.27,0.78,0.23,0.31,0.16
contraceptive__smoteSVM_ABC,contraceptive,2,_smoteSVM,ABC,PCA,NONE,NONE,0.20,0.24,0.80,0.22,0.30,0.16
contraceptive__smoteSVM_MLP,contraceptive,2,_smoteSVM,MLP,PCA,NONE,NONE,0.19,0.23,0.80,0.21,0.29,0.16
contraceptive__smoteSVM_QDA,contraceptive,2,_smoteSVM,QDA,PCA,NONE,NONE,0.23,0.20,0.86,0.21,0.28,0.16
contraceptive__smoteSVM_SVM,contraceptive,2,_smoteSVM,SVM,PCA,NONE,NONE,0.05,0.23,0.77,0.08,0.02,0.00
contraceptive__smoteSVM_SGD,contraceptive,2,_smoteSVM,SGD,PCA,NONE,NONE,0.23,0.31,0.78,0.24,0.30,0.16
contraceptive__Geometric_SMOTE_RF,contraceptive,2,_Geometric_SMOTE,RF,PCA,NONE,NONE,0.19,0.24,0.78,0.21,0.29,0.16
contraceptive__Geometric_SMOTE_KNN,contraceptive,2,_Geometric_SMOTE,KNN,PCA,NONE,NONE,0.22,0.24,0.81,0.23,0.31,0.17
contraceptive__Geometric_SMOTE_DTREE,contraceptive,2,_Geometric_SMOTE,DTREE,PCA,NONE,NONE,0.18,0.21,0.79,0.19,0.27,0.13
contraceptive__Geometric_SMOTE_GNB,contraceptive,2,_Geometric_SMOTE,GNB,PCA,NONE,NONE,0.21,0.22,0.84,0.21,0.29,0.16
contraceptive__Geometric_SMOTE_LRG,contraceptive,2,_Geometric_SMOTE,LRG,PCA,NONE,NONE,0.21,0.29,0.77,0.23,0.31,0.17
contraceptive__Geometric_SMOTE_ABC,contraceptive,2,_Geometric_SMOTE,ABC,PCA,NONE,NONE,0.22,0.28,0.81,0.24,0.32,0.19
contraceptive__Geometric_SMOTE_MLP,contraceptive,2,_Geometric_SMOTE,MLP,PCA,NONE,NONE,0.20,0.23,0.81,0.21,0.29,0.16
contraceptive__Geometric_SMOTE_QDA,contraceptive,2,_Geometric_SMOTE,QDA,PCA,NONE,NONE,0.22,0.22,0.85,0.22,0.29,0.16
contraceptive__Geometric_SMOTE_SVM,contraceptive,2,_Geometric_SMOTE,SVM,PCA,NONE,NONE,0.05,0.23,0.77,0.08,0.02,0.00
contraceptive__Geometric_SMOTE_SGD,contraceptive,2,_Geometric_SMOTE,SGD,PCA,NONE,NONE,0.14,0.35,0.67,0.19,0.14,0.04
contraceptive__delaunay_PCA_area_1_RF,contraceptive,2,_delaunay_area_1,RF,PCA,area,1,0.19,0.22,0.79,0.20,0.28,0.14
contraceptive__delaunay_PCA_area_1_KNN,contraceptive,2,_delaunay_area_1,KNN,PCA,area,1,0.21,0.26,0.81,0.23,0.31,0.17
contraceptive__delaunay_PCA_area_1_DTREE,contraceptive,2,_delaunay_area_1,DTREE,PCA,area,1,0.17,0.21,0.77,0.19,0.27,0.13
contraceptive__delaunay_PCA_area_1_GNB,contraceptive,2,_delaunay_area_1,GNB,PCA,area,1,0.21,0.21,0.84,0.21,0.29,0.15
contraceptive__delaunay_PCA_area_1_LRG,contraceptive,2,_delaunay_area_1,LRG,PCA,area,1,0.22,0.29,0.78,0.24,0.32,0.17
contraceptive__delaunay_PCA_area_1_ABC,contraceptive,2,_delaunay_area_1,ABC,PCA,area,1,0.20,0.24,0.81,0.22,0.29,0.16
contraceptive__delaunay_PCA_area_1_MLP,contraceptive,2,_delaunay_area_1,MLP,PCA,area,1,0.20,0.23,0.81,0.22,0.29,0.16
contraceptive__delaunay_PCA_area_1_QDA,contraceptive,2,_delaunay_area_1,QDA,PCA,area,1,0.21,0.20,0.85,0.20,0.28,0.15
contraceptive__delaunay_PCA_area_1_SVM,contraceptive,2,_delaunay_area_1,SVM,PCA,area,1,0.26,0.24,0.77,0.10,0.09,0.01
contraceptive__delaunay_PCA_area_1_SGD,contraceptive,2,_delaunay_area_1,SGD,PCA,area,1,0.24,0.32,0.77,0.23,0.29,0.15
contraceptive__delaunay_PCA_area_4_RF,contraceptive,2,_delaunay_area_4,RF,PCA,area,4,0.20,0.25,0.79,0.22,0.30,0.16
contraceptive__delaunay_PCA_area_4_KNN,contraceptive,2,_delaunay_area_4,KNN,PCA,area,4,0.20,0.24,0.80,0.22,0.30,0.16
contraceptive__delaunay_PCA_area_4_DTREE,contraceptive,2,_delaunay_area_4,DTREE,PCA,area,4,0.18,0.20,0.80,0.19,0.27,0.13
contraceptive__delaunay_PCA_area_4_GNB,contraceptive,2,_delaunay_area_4,GNB,PCA,area,4,0.20,0.21,0.84,0.20,0.28,0.15
contraceptive__delaunay_PCA_area_4_LRG,contraceptive,2,_delaunay_area_4,LRG,PCA,area,4,0.21,0.29,0.78,0.23,0.31,0.17
contraceptive__delaunay_PCA_area_4_ABC,contraceptive,2,_delaunay_area_4,ABC,PCA,area,4,0.22,0.25,0.82,0.23,0.31,0.18
contraceptive__delaunay_PCA_area_4_MLP,contraceptive,2,_delaunay_area_4,MLP,PCA,area,4,0.20,0.25,0.80,0.22,0.30,0.17
contraceptive__delaunay_PCA_area_4_QDA,contraceptive,2,_delaunay_area_4,QDA,PCA,area,4,0.22,0.20,0.85,0.21,0.28,0.15
contraceptive__delaunay_PCA_area_4_SVM,contraceptive,2,_delaunay_area_4,SVM,PCA,area,4,0.28,0.24,0.78,0.11,0.10,0.02
contraceptive__delaunay_PCA_area_4_SGD,contraceptive,2,_delaunay_area_4,SGD,PCA,area,4,0.14,0.35,0.67,0.19,0.13,0.03
contraceptive__delaunay_PCA_area_9_RF,contraceptive,2,_delaunay_area_9,RF,PCA,area,9,0.20,0.24,0.80,0.22,0.30,0.16
contraceptive__delaunay_PCA_area_9_KNN,contraceptive,2,_delaunay_area_9,KNN,PCA,area,9,0.19,0.23,0.80,0.21,0.29,0.15
contraceptive__delaunay_PCA_area_9_DTREE,contraceptive,2,_delaunay_area_9,DTREE,PCA,area,9,0.21,0.24,0.81,0.22,0.30,0.16
contraceptive__delaunay_PCA_area_9_GNB,contraceptive,2,_delaunay_area_9,GNB,PCA,area,9,0.20,0.21,0.83,0.20,0.28,0.15
contraceptive__delaunay_PCA_area_9_LRG,contraceptive,2,_delaunay_area_9,LRG,PCA,area,9,0.22,0.29,0.78,0.24,0.32,0.17
contraceptive__delaunay_PCA_area_9_ABC,contraceptive,2,_delaunay_area_9,ABC,PCA,area,9,0.20,0.24,0.80,0.22,0.29,0.16
contraceptive__delaunay_PCA_area_9_MLP,contraceptive,2,_delaunay_area_9,MLP,PCA,area,9,0.20,0.25,0.81,0.22,0.30,0.17
contraceptive__delaunay_PCA_area_9_QDA,contraceptive,2,_delaunay_area_9,QDA,PCA,area,9,0.22,0.20,0.86,0.21,0.28,0.15
contraceptive__delaunay_PCA_area_9_SVM,contraceptive,2,_delaunay_area_9,SVM,PCA,area,9,0.33,0.24,0.78,0.11,0.10,0.02
contraceptive__delaunay_PCA_area_9_SGD,contraceptive,2,_delaunay_area_9,SGD,PCA,area,9,0.00,0.00,0.99,0.00,0.00,0.00
contraceptive__delaunay_PCA_volume_1_RF,contraceptive,2,_delaunay_volume_1,RF,PCA,volume,1,0.19,0.22,0.80,0.21,0.29,0.15
contraceptive__delaunay_PCA_volume_1_KNN,contraceptive,2,_delaunay_volume_1,KNN,PCA,volume,1,0.21,0.25,0.81,0.23,0.31,0.17
contraceptive__delaunay_PCA_volume_1_DTREE,contraceptive,2,_delaunay_volume_1,DTREE,PCA,volume,1,0.18,0.21,0.79,0.19,0.28,0.13
contraceptive__delaunay_PCA_volume_1_GNB,contraceptive,2,_delaunay_volume_1,GNB,PCA,volume,1,0.22,0.21,0.83,0.21,0.29,0.15
contraceptive__delaunay_PCA_volume_1_LRG,contraceptive,2,_delaunay_volume_1,LRG,PCA,volume,1,0.22,0.29,0.79,0.24,0.31,0.17
contraceptive__delaunay_PCA_volume_1_ABC,contraceptive,2,_delaunay_volume_1,ABC,PCA,volume,1,0.20,0.29,0.78,0.24,0.31,0.17
contraceptive__delaunay_PCA_volume_1_MLP,contraceptive,2,_delaunay_volume_1,MLP,PCA,volume,1,0.20,0.24,0.80,0.22,0.29,0.16
contraceptive__delaunay_PCA_volume_1_QDA,contraceptive,2,_delaunay_volume_1,QDA,PCA,volume,1,0.22,0.20,0.86,0.21,0.28,0.15
contraceptive__delaunay_PCA_volume_1_SVM,contraceptive,2,_delaunay_volume_1,SVM,PCA,volume,1,0.28,0.24,0.78,0.11,0.10,0.02
contraceptive__delaunay_PCA_volume_1_SGD,contraceptive,2,_delaunay_volume_1,SGD,PCA,volume,1,0.05,0.22,0.78,0.08,0.04,0.01
contraceptive__delaunay_PCA_volume_4_RF,contraceptive,2,_delaunay_volume_4,RF,PCA,volume,4,0.18,0.22,0.78,0.19,0.28,0.14
contraceptive__delaunay_PCA_volume_4_KNN,contraceptive,2,_delaunay_volume_4,KNN,PCA,volume,4,0.21,0.25,0.81,0.22,0.31,0.16
contraceptive__delaunay_PCA_volume_4_DTREE,contraceptive,2,_delaunay_volume_4,DTREE,PCA,volume,4,0.17,0.18,0.80,0.17,0.25,0.11
contraceptive__delaunay_PCA_volume_4_GNB,contraceptive,2,_delaunay_volume_4,GNB,PCA,volume,4,0.22,0.21,0.84,0.21,0.29,0.15
contraceptive__delaunay_PCA_volume_4_LRG,contraceptive,2,_delaunay_volume_4,LRG,PCA,volume,4,0.22,0.29,0.78,0.24,0.31,0.17
contraceptive__delaunay_PCA_volume_4_ABC,contraceptive,2,_delaunay_volume_4,ABC,PCA,volume,4,0.19,0.24,0.79,0.21,0.29,0.15
contraceptive__delaunay_PCA_volume_4_MLP,contraceptive,2,_delaunay_volume_4,MLP,PCA,volume,4,0.20,0.23,0.81,0.22,0.29,0.16
contraceptive__delaunay_PCA_volume_4_QDA,contraceptive,2,_delaunay_volume_4,QDA,PCA,volume,4,0.21,0.20,0.85,0.20,0.28,0.15
contraceptive__delaunay_PCA_volume_4_SVM,contraceptive,2,_delaunay_volume_4,SVM,PCA,volume,4,0.30,0.25,0.78,0.13,0.14,0.03
contraceptive__delaunay_PCA_volume_4_SGD,contraceptive,2,_delaunay_volume_4,SGD,PCA,volume,4,0.14,0.29,0.73,0.19,0.20,0.10
contraceptive__delaunay_PCA_volume_9_RF,contraceptive,2,_delaunay_volume_9,RF,PCA,volume,9,0.20,0.24,0.80,0.22,0.30,0.16
contraceptive__delaunay_PCA_volume_9_KNN,contraceptive,2,_delaunay_volume_9,KNN,PCA,volume,9,0.21,0.25,0.81,0.22,0.31,0.16
contraceptive__delaunay_PCA_volume_9_DTREE,contraceptive,2,_delaunay_volume_9,DTREE,PCA,volume,9,0.17,0.19,0.79,0.18,0.26,0.12
contraceptive__delaunay_PCA_volume_9_GNB,contraceptive,2,_delaunay_volume_9,GNB,PCA,volume,9,0.20,0.21,0.82,0.20,0.28,0.14
contraceptive__delaunay_PCA_volume_9_LRG,contraceptive,2,_delaunay_volume_9,LRG,PCA,volume,9,0.22,0.29,0.78,0.23,0.31,0.17
contraceptive__delaunay_PCA_volume_9_ABC,contraceptive,2,_delaunay_volume_9,ABC,PCA,volume,9,0.20,0.26,0.79,0.22,0.30,0.16
contraceptive__delaunay_PCA_volume_9_MLP,contraceptive,2,_delaunay_volume_9,MLP,PCA,volume,9,0.21,0.24,0.81,0.22,0.30,0.16
contraceptive__delaunay_PCA_volume_9_QDA,contraceptive,2,_delaunay_volume_9,QDA,PCA,volume,9,0.22,0.21,0.85,0.22,0.29,0.16
contraceptive__delaunay_PCA_volume_9_SVM,contraceptive,2,_delaunay_volume_9,SVM,PCA,volume,9,0.28,0.24,0.78,0.11,0.10,0.02
contraceptive__delaunay_PCA_volume_9_SGD,contraceptive,2,_delaunay_volume_9,SGD,PCA,volume,9,0.14,0.33,0.68,0.19,0.16,0.06
contraceptive__delaunay_PCA_area_volume_ratio_1_RF,contraceptive,2,_delaunay_area_volume_ratio_1,RF,PCA,area_volume_ratio,1,0.19,0.22,0.80,0.20,0.28,0.14
contraceptive__delaunay_PCA_area_volume_ratio_1_KNN,contraceptive,2,_delaunay_area_volume_ratio_1,KNN,PCA,area_volume_ratio,1,0.20,0.22,0.81,0.21,0.29,0.15
contraceptive__delaunay_PCA_area_volume_ratio_1_DTREE,contraceptive,2,_delaunay_area_volume_ratio_1,DTREE,PCA,area_volume_ratio,1,0.16,0.18,0.80,0.17,0.26,0.11
contraceptive__delaunay_PCA_area_volume_ratio_1_GNB,contraceptive,2,_delaunay_area_volume_ratio_1,GNB,PCA,area_volume_ratio,1,0.20,0.19,0.85,0.19,0.27,0.14
contraceptive__delaunay_PCA_area_volume_ratio_1_LRG,contraceptive,2,_delaunay_area_volume_ratio_1,LRG,PCA,area_volume_ratio,1,0.21,0.29,0.77,0.24,0.31,0.17
contraceptive__delaunay_PCA_area_volume_ratio_1_ABC,contraceptive,2,_delaunay_area_volume_ratio_1,ABC,PCA,area_volume_ratio,1,0.19,0.21,0.80,0.20,0.28,0.14
contraceptive__delaunay_PCA_area_volume_ratio_1_MLP,contraceptive,2,_delaunay_area_volume_ratio_1,MLP,PCA,area_volume_ratio,1,0.19,0.22,0.81,0.21,0.28,0.15
contraceptive__delaunay_PCA_area_volume_ratio_1_QDA,contraceptive,2,_delaunay_area_volume_ratio_1,QDA,PCA,area_volume_ratio,1,0.23,0.19,0.86,0.21,0.28,0.15
contraceptive__delaunay_PCA_area_volume_ratio_1_SVM,contraceptive,2,_delaunay_area_volume_ratio_1,SVM,PCA,area_volume_ratio,1,0.28,0.23,0.77,0.10,0.07,0.01
contraceptive__delaunay_PCA_area_volume_ratio_1_SGD,contraceptive,2,_delaunay_area_volume_ratio_1,SGD,PCA,area_volume_ratio,1,0.15,0.33,0.69,0.21,0.22,0.09
contraceptive__delaunay_PCA_area_volume_ratio_4_RF,contraceptive,2,_delaunay_area_volume_ratio_4,RF,PCA,area_volume_ratio,4,0.20,0.22,0.80,0.20,0.29,0.15
contraceptive__delaunay_PCA_area_volume_ratio_4_KNN,contraceptive,2,_delaunay_area_volume_ratio_4,KNN,PCA,area_volume_ratio,4,0.19,0.23,0.80,0.21,0.29,0.15
contraceptive__delaunay_PCA_area_volume_ratio_4_DTREE,contraceptive,2,_delaunay_area_volume_ratio_4,DTREE,PCA,area_volume_ratio,4,0.19,0.21,0.80,0.20,0.28,0.14
contraceptive__delaunay_PCA_area_volume_ratio_4_GNB,contraceptive,2,_delaunay_area_volume_ratio_4,GNB,PCA,area_volume_ratio,4,0.19,0.19,0.84,0.19,0.27,0.13
contraceptive__delaunay_PCA_area_volume_ratio_4_LRG,contraceptive,2,_delaunay_area_volume_ratio_4,LRG,PCA,area_volume_ratio,4,0.21,0.28,0.78,0.23,0.31,0.17
contraceptive__delaunay_PCA_area_volume_ratio_4_ABC,contraceptive,2,_delaunay_area_volume_ratio_4,ABC,PCA,area_volume_ratio,4,0.20,0.24,0.81,0.22,0.29,0.16
contraceptive__delaunay_PCA_area_volume_ratio_4_MLP,contraceptive,2,_delaunay_area_volume_ratio_4,MLP,PCA,area_volume_ratio,4,0.21,0.23,0.82,0.22,0.29,0.16
contraceptive__delaunay_PCA_area_volume_ratio_4_QDA,contraceptive,2,_delaunay_area_volume_ratio_4,QDA,PCA,area_volume_ratio,4,0.23,0.19,0.86,0.21,0.28,0.15
contraceptive__delaunay_PCA_area_volume_ratio_4_SVM,contraceptive,2,_delaunay_area_volume_ratio_4,SVM,PCA,area_volume_ratio,4,0.05,0.23,0.77,0.08,0.02,0.00
contraceptive__delaunay_PCA_area_volume_ratio_4_SGD,contraceptive,2,_delaunay_area_volume_ratio_4,SGD,PCA,area_volume_ratio,4,0.20,0.04,0.91,0.04,0.12,0.03
contraceptive__delaunay_PCA_area_volume_ratio_9_RF,contraceptive,2,_delaunay_area_volume_ratio_9,RF,PCA,area_volume_ratio,9,0.19,0.23,0.79,0.21,0.29,0.15
contraceptive__delaunay_PCA_area_volume_ratio_9_KNN,contraceptive,2,_delaunay_area_volume_ratio_9,KNN,PCA,area_volume_ratio,9,0.19,0.23,0.80,0.21,0.29,0.15
contraceptive__delaunay_PCA_area_volume_ratio_9_DTREE,contraceptive,2,_delaunay_area_volume_ratio_9,DTREE,PCA,area_volume_ratio,9,0.19,0.20,0.81,0.19,0.27,0.13
contraceptive__delaunay_PCA_area_volume_ratio_9_GNB,contraceptive,2,_delaunay_area_volume_ratio_9,GNB,PCA,area_volume_ratio,9,0.19,0.18,0.85,0.19,0.27,0.13
contraceptive__delaunay_PCA_area_volume_ratio_9_LRG,contraceptive,2,_delaunay_area_volume_ratio_9,LRG,PCA,area_volume_ratio,9,0.21,0.28,0.77,0.23,0.31,0.17
contraceptive__delaunay_PCA_area_volume_ratio_9_ABC,contraceptive,2,_delaunay_area_volume_ratio_9,ABC,PCA,area_volume_ratio,9,0.19,0.24,0.79,0.21,0.29,0.15
contraceptive__delaunay_PCA_area_volume_ratio_9_MLP,contraceptive,2,_delaunay_area_volume_ratio_9,MLP,PCA,area_volume_ratio,9,0.20,0.24,0.80,0.21,0.29,0.16
contraceptive__delaunay_PCA_area_volume_ratio_9_QDA,contraceptive,2,_delaunay_area_volume_ratio_9,QDA,PCA,area_volume_ratio,9,0.22,0.19,0.86,0.20,0.28,0.15
contraceptive__delaunay_PCA_area_volume_ratio_9_SVM,contraceptive,2,_delaunay_area_volume_ratio_9,SVM,PCA,area_volume_ratio,9,0.22,0.23,0.77,0.09,0.06,0.01
contraceptive__delaunay_PCA_area_volume_ratio_9_SGD,contraceptive,2,_delaunay_area_volume_ratio_9,SGD,PCA,area_volume_ratio,9,0.15,0.31,0.73,0.20,0.21,0.10
contraceptive__delaunay_PCA_edge_ratio_1_RF,contraceptive,2,_delaunay_edge_ratio_1,RF,PCA,edge_ratio,1,0.19,0.23,0.79,0.21,0.29,0.15
contraceptive__delaunay_PCA_edge_ratio_1_KNN,contraceptive,2,_delaunay_edge_ratio_1,KNN,PCA,edge_ratio,1,0.20,0.24,0.80,0.22,0.30,0.16
contraceptive__delaunay_PCA_edge_ratio_1_DTREE,contraceptive,2,_delaunay_edge_ratio_1,DTREE,PCA,edge_ratio,1,0.19,0.22,0.80,0.20,0.28,0.14
contraceptive__delaunay_PCA_edge_ratio_1_GNB,contraceptive,2,_delaunay_edge_ratio_1,GNB,PCA,edge_ratio,1,0.20,0.19,0.85,0.19,0.27,0.14
contraceptive__delaunay_PCA_edge_ratio_1_LRG,contraceptive,2,_delaunay_edge_ratio_1,LRG,PCA,edge_ratio,1,0.21,0.27,0.78,0.22,0.30,0.16
contraceptive__delaunay_PCA_edge_ratio_1_ABC,contraceptive,2,_delaunay_edge_ratio_1,ABC,PCA,edge_ratio,1,0.22,0.26,0.81,0.23,0.31,0.18
contraceptive__delaunay_PCA_edge_ratio_1_MLP,contraceptive,2,_delaunay_edge_ratio_1,MLP,PCA,edge_ratio,1,0.20,0.23,0.81,0.21,0.29,0.16
contraceptive__delaunay_PCA_edge_ratio_1_QDA,contraceptive,2,_delaunay_edge_ratio_1,QDA,PCA,edge_ratio,1,0.24,0.20,0.87,0.21,0.29,0.15
contraceptive__delaunay_PCA_edge_ratio_1_SVM,contraceptive,2,_delaunay_edge_ratio_1,SVM,PCA,edge_ratio,1,0.05,0.23,0.77,0.08,0.02,0.00
contraceptive__delaunay_PCA_edge_ratio_1_SGD,contraceptive,2,_delaunay_edge_ratio_1,SGD,PCA,edge_ratio,1,0.21,0.32,0.75,0.25,0.32,0.18
contraceptive__delaunay_PCA_edge_ratio_4_RF,contraceptive,2,_delaunay_edge_ratio_4,RF,PCA,edge_ratio,4,0.18,0.22,0.78,0.20,0.28,0.14
contraceptive__delaunay_PCA_edge_ratio_4_KNN,contraceptive,2,_delaunay_edge_ratio_4,KNN,PCA,edge_ratio,4,0.20,0.24,0.80,0.22,0.30,0.16
contraceptive__delaunay_PCA_edge_ratio_4_DTREE,contraceptive,2,_delaunay_edge_ratio_4,DTREE,PCA,edge_ratio,4,0.17,0.21,0.79,0.19,0.27,0.13
contraceptive__delaunay_PCA_edge_ratio_4_GNB,contraceptive,2,_delaunay_edge_ratio_4,GNB,PCA,edge_ratio,4,0.19,0.19,0.85,0.19,0.27,0.14
