,MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA,AUC
35,PCA,seismic-bumps,_Borderline2,MLP,NONE,NONE,0.906,0.792,0.5199999999999999,0.8380000000000001,0.634,0.42,0.6567923507126107
36,PCA,seismic-bumps,_Borderline2,QDA,NONE,NONE,0.898,0.6980000000000001,0.4779999999999999,0.762,0.4940000000000001,0.282,0.5869321894372037
37,PCA,seismic-bumps,_Borderline2,RF,NONE,NONE,0.8960000000000001,0.882,0.28600000000000003,0.8880000000000001,0.474,0.23399999999999999,0.5839238022468594
38,PCA,seismic-bumps,_Borderline2,SGD,NONE,NONE,0.892,0.858,0.29600000000000004,0.8740000000000001,0.4280000000000001,0.2260000000000001,0.5782089454941277
39,PCA,seismic-bumps,_Borderline2,SVM,NONE,NONE,0.8699999999999999,0.9280000000000002,0.068,0.9,0.0,0.0,0.4987577639751553
40,PCA,seismic-bumps,_smoteSVM,ABC,NONE,NONE,0.904,0.8699999999999999,0.39,0.882,0.56,0.332,0.6286182992049426
41,PCA,seismic-bumps,_smoteSVM,DTREE,NONE,NONE,0.892,0.86,0.292,0.8759999999999999,0.466,0.23600000000000004,0.5760937786624662
42,PCA,seismic-bumps,_smoteSVM,GNB,NONE,NONE,0.916,0.4360000000000001,0.826,0.5459999999999999,0.584,0.328,0.6296616571939979
43,PCA,seismic-bumps,_smoteSVM,KNN,NONE,NONE,0.8960000000000001,0.8559999999999999,0.328,0.8759999999999999,0.5040000000000001,0.274,0.592128437158735
44,PCA,seismic-bumps,_smoteSVM,LRG,NONE,NONE,0.8880000000000001,0.93,0.10400000000000001,0.904,0.17600000000000002,0.042,0.5162386910383854
45,PCA,seismic-bumps,_smoteSVM,MLP,NONE,NONE,0.892,0.836,0.332,0.86,0.4640000000000001,0.254,0.5855329178396959
46,PCA,seismic-bumps,_smoteSVM,QDA,NONE,NONE,0.89,0.794,0.31399999999999995,0.8300000000000001,0.442,0.218,0.5543787783921073
47,PCA,seismic-bumps,_smoteSVM,RF,NONE,NONE,0.8939999999999999,0.9,0.23399999999999999,0.9,0.41600000000000004,0.18600000000000005,0.5675636771035313
48,PCA,seismic-bumps,_smoteSVM,SGD,NONE,NONE,0.89,0.7780000000000001,0.278,0.7819999999999999,0.252,0.092,0.5289106153015057
49,PCA,seismic-bumps,_smoteSVM,SVM,NONE,NONE,0.8699999999999999,0.93,0.07,0.9,0.0,0.0,0.5
50,PCA,seismic-bumps,_Geometric_SMOTE,ABC,NONE,NONE,0.89,0.93,0.086,0.902,0.136,0.024,0.5090714763264137
51,PCA,seismic-bumps,_Geometric_SMOTE,DTREE,NONE,NONE,0.8859999999999999,0.882,0.21,0.884,0.378,0.15999999999999998,0.5452360991302528
52,PCA,seismic-bumps,_Geometric_SMOTE,GNB,NONE,NONE,0.8699999999999999,0.93,0.07,0.9,0.0,0.0,0.4977212786612029
53,PCA,seismic-bumps,_Geometric_SMOTE,KNN,NONE,NONE,0.8859999999999999,0.8539999999999999,0.246,0.8719999999999999,0.414,0.19,0.5509076226557734
54,PCA,seismic-bumps,_Geometric_SMOTE,LRG,NONE,NONE,0.8880000000000001,0.912,0.13799999999999998,0.9,0.27,0.084,0.5260574444462973
55,PCA,seismic-bumps,_Geometric_SMOTE,MLP,NONE,NONE,0.902,0.8240000000000001,0.434,0.8539999999999999,0.5820000000000001,0.35600000000000004,0.6292016680386749
56,PCA,seismic-bumps,_Geometric_SMOTE,QDA,NONE,NONE,0.728,0.172,0.7980000000000002,0.16399999999999998,0.16999999999999998,0.044000000000000004,0.4854341736694678
57,PCA,seismic-bumps,_Geometric_SMOTE,RF,NONE,NONE,0.9,0.9280000000000002,0.126,0.906,0.244,0.068,0.5282091476316306
58,PCA,seismic-bumps,_Geometric_SMOTE,SGD,NONE,NONE,0.8939999999999999,0.8039999999999999,0.3800000000000001,0.8379999999999999,0.478,0.266,0.5914718187473438
59,PCA,seismic-bumps,_Geometric_SMOTE,SVM,NONE,NONE,0.8699999999999999,0.93,0.07,0.9,0.0,0.0,0.5
