MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA,AUC
PCA,habermans-survival,_train,LRG,NONE,NONE,0.5379999999999999,0.7380000000000001,0.262,0.626,0.0,0.0,0.5
PCA,habermans-survival,_train,MLP,NONE,NONE,0.674,0.736,0.35,0.672,0.30799999999999994,0.132,0.5428349673202615
PCA,habermans-survival,_train,QDA,NONE,NONE,0.7060000000000001,0.74,0.418,0.7020000000000001,0.45799999999999996,0.22400000000000006,0.5791339869281046
PCA,habermans-survival,_train,RF,NONE,NONE,0.6239999999999999,0.644,0.38799999999999996,0.632,0.4300000000000001,0.196,0.5164950980392157
PCA,habermans-survival,_train,SGD,NONE,NONE,0.486,0.634,0.376,0.534,0.11600000000000002,0.036000000000000004,0.5054166666666667
PCA,habermans-survival,_train,SVM,NONE,NONE,0.5379999999999999,0.7380000000000001,0.262,0.626,0.0,0.0,0.5
PCA,indian-liver-patient,_train,ABC,NONE,NONE,0.6439999999999999,0.664,0.45799999999999996,0.65,0.5,0.258,0.5590386757112483
PCA,indian-liver-patient,_train,DTREE,NONE,NONE,0.6580000000000001,0.6559999999999999,0.504,0.6559999999999999,0.5499999999999999,0.306,0.58027925299364
PCA,indian-liver-patient,_train,GNB,NONE,NONE,0.7559999999999999,0.5900000000000001,0.7559999999999999,0.602,0.6439999999999999,0.408,0.6734529408696666
PCA,indian-liver-patient,_train,KNN,NONE,NONE,0.626,0.66,0.414,0.638,0.4480000000000001,0.214,0.5387944443933105
PCA,indian-liver-patient,_train,LRG,NONE,NONE,0.508,0.7159999999999999,0.28400000000000003,0.596,0.0,0.0,0.5
PCA,indian-liver-patient,_train,MLP,NONE,NONE,0.648,0.7079999999999999,0.342,0.632,0.3,0.096,0.5251015521213962
PCA,indian-liver-patient,_train,QDA,NONE,NONE,0.7440000000000001,0.514,0.7440000000000001,0.512,0.564,0.31399999999999995,0.6283716991725496
PCA,indian-liver-patient,_train,RF,NONE,NONE,0.648,0.6880000000000001,0.4239999999999999,0.654,0.456,0.22000000000000006,0.5569558601096517
PCA,indian-liver-patient,_train,SGD,NONE,NONE,0.6779999999999999,0.602,0.518,0.5599999999999999,0.366,0.19,0.5595751991924919
PCA,indian-liver-patient,_train,SVM,NONE,NONE,0.508,0.7159999999999999,0.28400000000000003,0.596,0.0,0.0,0.5
PCA,ionosphere,_train,ABC,NONE,NONE,0.912,0.9059999999999999,0.882,0.904,0.89,0.7959999999999999,0.8938119658119656
