,MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA
51,PCA,thyroid,_train,DTREE,NONE,NONE,0.904,0.91,0.716,0.908,0.76,0.65
52,PCA,thyroid,_train,GNB,NONE,NONE,0.8160000000000001,0.12199999999999996,0.8340000000000002,0.202,0.292,0.092
53,PCA,thyroid,_train,KNN,NONE,NONE,0.8639999999999999,0.924,0.202,0.8960000000000001,0.256,0.13599999999999998
54,PCA,thyroid,_train,LRG,NONE,NONE,0.858,0.9259999999999999,0.07400000000000001,0.892,0.0,0.0
55,PCA,thyroid,_train,MLP,NONE,NONE,0.8699999999999999,0.9179999999999999,0.3,0.8940000000000001,0.4520000000000001,0.24
56,PCA,thyroid,_train,QDA,NONE,NONE,0.8779999999999999,0.474,0.6540000000000001,0.6120000000000001,0.512,0.28
57,PCA,thyroid,_train,RF,NONE,NONE,0.9,0.9179999999999999,0.652,0.908,0.7260000000000001,0.594
58,PCA,thyroid,_train,SGD,NONE,NONE,0.8640000000000001,0.924,0.12200000000000005,0.8939999999999999,0.13599999999999998,0.054000000000000006
59,PCA,thyroid,_train,SVM,NONE,NONE,0.858,0.9259999999999999,0.07400000000000001,0.892,0.0,0.0
60,PCA,wine,_train,ABC,NONE,NONE,0.29600000000000004,0.26,0.8300000000000001,0.274,0.29200000000000004,0.252
61,PCA,wine,_train,DTREE,NONE,NONE,0.29000000000000004,0.292,0.7860000000000001,0.29200000000000004,0.32,0.266
62,PCA,wine,_train,GNB,NONE,NONE,0.28400000000000003,0.29600000000000004,0.7879999999999999,0.28800000000000003,0.334,0.27
63,PCA,wine,_train,KNN,NONE,NONE,0.24,0.20600000000000002,0.7700000000000001,0.21600000000000005,0.27,0.17600000000000002
64,PCA,wine,_train,LRG,NONE,NONE,0.0,0.0,0.91,0.0,0.0,0.0
65,PCA,wine,_train,MLP,NONE,NONE,0.21800000000000005,0.102,0.768,0.126,0.182,0.068
66,PCA,wine,_train,QDA,NONE,NONE,0.272,0.27,0.7959999999999999,0.27,0.28,0.266
67,PCA,wine,_train,RF,NONE,NONE,0.294,0.28600000000000003,0.792,0.292,0.316,0.272
68,PCA,wine,_train,SGD,NONE,NONE,0.07400000000000001,0.194,0.784,0.106,0.0,0.0
69,PCA,wine,_train,SVM,NONE,NONE,0.0,0.0,1.0,0.0,0.0,0.0
70,PCA,contraceptive,_SMOTE,ABC,NONE,NONE,0.2,0.222,0.8080000000000002,0.21,0.28600000000000003,0.15200000000000002
71,PCA,contraceptive,_SMOTE,DTREE,NONE,NONE,0.192,0.20800000000000002,0.804,0.196,0.28,0.136
72,PCA,contraceptive,_SMOTE,GNB,NONE,NONE,0.196,0.18,0.85,0.19,0.27,0.132
73,PCA,contraceptive,_SMOTE,KNN,NONE,NONE,0.194,0.204,0.8160000000000001,0.194,0.276,0.136
74,PCA,contraceptive,_SMOTE,LRG,NONE,NONE,0.202,0.258,0.7740000000000001,0.21600000000000005,0.294,0.15200000000000002
75,PCA,contraceptive,_SMOTE,MLP,NONE,NONE,0.20800000000000002,0.2280000000000001,0.8140000000000001,0.214,0.29200000000000004,0.15800000000000006
76,PCA,contraceptive,_SMOTE,QDA,NONE,NONE,0.214,0.16999999999999998,0.86,0.18600000000000005,0.264,0.128
77,PCA,contraceptive,_SMOTE,RF,NONE,NONE,0.198,0.2280000000000001,0.794,0.21,0.28800000000000003,0.15000000000000002
78,PCA,contraceptive,_SMOTE,SGD,NONE,NONE,0.132,0.2280000000000001,0.778,0.162,0.17600000000000002,0.08399999999999999
79,PCA,contraceptive,_SMOTE,SVM,NONE,NONE,0.156,0.2280000000000001,0.77,0.084,0.028000000000000004,0.002
80,PCA,dermatology,_SMOTE,ABC,NONE,NONE,0.3640000000000001,0.354,0.9399999999999998,0.358,0.366,0.35200000000000004
81,PCA,dermatology,_SMOTE,DTREE,NONE,NONE,0.51,0.502,0.9359999999999999,0.504,0.526,0.4980000000000001
82,PCA,dermatology,_SMOTE,GNB,NONE,NONE,0.46,0.52,0.922,0.48200000000000004,0.522,0.506
83,PCA,dermatology,_SMOTE,KNN,NONE,NONE,0.506,0.512,0.934,0.506,0.518,0.51
84,PCA,dermatology,_SMOTE,LRG,NONE,NONE,0.506,0.502,0.934,0.502,0.516,0.494
85,PCA,dermatology,_SMOTE,MLP,NONE,NONE,0.51,0.512,0.934,0.514,0.524,0.512
86,PCA,dermatology,_SMOTE,QDA,NONE,NONE,0.41,0.474,0.914,0.43,0.4779999999999999,0.4539999999999999
87,PCA,dermatology,_SMOTE,RF,NONE,NONE,0.522,0.522,0.9359999999999999,0.5199999999999999,0.528,0.52
88,PCA,dermatology,_SMOTE,SGD,NONE,NONE,0.442,0.39,0.906,0.374,0.422,0.35600000000000004
89,PCA,dermatology,_SMOTE,SVM,NONE,NONE,0.15,0.194,0.8399999999999999,0.092,0.08800000000000001,0.038
90,PCA,glass,_SMOTE,ABC,NONE,NONE,0.23600000000000004,0.388,0.764,0.29,0.31799999999999995,0.212
91,PCA,glass,_SMOTE,DTREE,NONE,NONE,0.258,0.28,0.8539999999999999,0.262,0.34800000000000003,0.24
92,PCA,glass,_SMOTE,GNB,NONE,NONE,0.32,0.354,0.8480000000000001,0.314,0.39399999999999996,0.27
93,PCA,glass,_SMOTE,KNN,NONE,NONE,0.274,0.29,0.8420000000000001,0.27,0.368,0.242
